YEAR,SERIAL,MONTH,CPSID,ASECFLAG,ASECWTH,STATEFIP,METAREA,PERNUM,CPSIDV,CPSIDP,ASECWT,AGE,SEX,RACE,IND,EDUC,INCTOT
2015,58243,3,2.01501E+13,1,2406.86,47,9998,2,2.01501E+14,2.01501E+13,2406.86,52,1,100,9470,73,45003
2015,58244,3,2.01503E+13,1,2400.76,47,9998,1,2.01503E+14,2.01503E+13,2400.76,50,2,100,7860,73,15600
2015,58244,3,2.01503E+13,1,2400.76,47,9998,2,2.01503E+14,2.01503E+13,2400.76,45,1,100,7790,73,19200
2015,58244,3,2.01503E+13,1,2400.76,47,9998,3,2.01503E+14,2.01503E+13,4031.49,23,1,100,0,73,5760
2015,58245,3,2.01501E+13,1,1831.13,47,9998,1,2.01501E+14,2.01501E+13,1831.13,31,2,200,8290,73,20824
2015,58245,3,2.01501E+13,1,1831.13,47,9998,2,2.01501E+14,2.01501E+13,1698.66,14,2,200,0,1,999999999
2015,58245,3,2.01501E+13,1,1831.13,47,9998,3,2.01501E+14,2.01501E+13,1188.83,11,2,200,0,1,999999999
2015,58245,3,2.01501E+13,1,1831.13,47,9998,4,2.01501E+14,2.01501E+13,1865.69,9,1,200,0,1,999999999
2015,58246,3,2.01502E+13,1,2229.96,47,9998,1,2.01502E+14,2.01502E+13,2229.96,68,2,100,0,60,21648
2015,58247,3,2.01501E+13,1,1381.12,47,9998,1,2.01501E+14,2.01501E+13,1381.12,39,2,100,0,73,6000
2015,58247,3,2.01501E+13,1,1381.12,47,9998,2,2.01501E+14,2.01501E+13,1381.12,38,1,100,8680,73,60000
2015,58247,3,2.01501E+13,1,1381.12,47,9998,3,2.01501E+14,2.01501E+13,1319.23,15,1,100,0,40,0
2015,58247,3,2.01501E+13,1,1381.12,47,9998,4,2.01501E+14,2.01501E+13,1452.8,6,2,100,0,1,999999999
2015,58247,3,2.01501E+13,1,1381.12,47,9998,5,2.01501E+14,2.01501E+13,1611.99,2,1,100,0,1,999999999
2015,58248,3,2.01501E+13,1,2216.82,47,9998,1,2.01501E+14,2.01501E+13,2216.82,76,1,100,0,125,16011
2015,58248,3,2.01501E+13,1,2216.82,47,9998,2,2.01501E+14,2.01501E+13,2216.82,67,2,100,0,111,12441
2015,58249,3,2.01412E+13,1,1836.01,47,9998,1,2.01412E+14,2.01412E+13,1836.01,30,2,200,7970,91,18100
2015,58249,3,2.01412E+13,1,1836.01,47,9998,2,2.01412E+14,2.01412E+13,1509.35,6,2,200,0,1,999999999
2015,58249,3,2.01412E+13,1,1836.01,47,9998,3,2.01412E+14,2.01412E+13,1913.02,0,2,200,0,1,999999999
2015,58250,3,2.01503E+13,1,1780.71,47,9998,1,2.01503E+14,2.01503E+13,1780.71,33,2,200,9480,81,30000
2015,58250,3,2.01503E+13,1,1780.71,47,9998,2,2.01503E+14,2.01503E+13,1269.1,15,1,200,0,50,0
2015,58250,3,2.01503E+13,1,1780.71,47,9998,3,2.01503E+14,2.01503E+13,1226.02,9,2,200,0,1,999999999
2015,58250,3,2.01503E+13,1,1780.71,47,9998,4,2.01503E+14,2.01503E+13,1662.62,52,2,200,9370,60,18000
2015,58252,3,0,1,1643.75,47,9998,1,0,0,1643.75,69,1,200,770,73,26240
2015,58252,3,0,1,1643.75,47,9998,2,0,0,1643.75,63,2,200,3570,73,29784
